middle.x,middle.y,middle.z,side1.x,side1.y,side1.z,side2.x,side2.y,side2.z
1746.524,5432.611,545.737,2046.524,5432.611,545.737,1446.524,5432.611,545.737
1746.524,6073.554,584.199,2046.524,6073.554,584.199,1446.524,6073.554,584.199
1732.396,6692.97,605.347,2032.396,6692.97,605.347,1432.396,6692.97,605.347
1747.094,7304.857,632.093,2047.094,7304.857,632.093,1447.094,7304.857,632.093
1751.778,7856.176,662.488,2051.778,7856.176,662.488,1451.778,7856.176,662.488
1751.778,8230.262,696.132,2051.778,8230.262,696.132,1451.778,8230.262,696.132
1769.178,8604.342,737.89,2069.178,8604.342,737.89,1469.178,8604.342,737.89
1769.178,9019.017,774.193,2069.178,9019.017,774.193,1469.178,9019.017,774.193
1783.677,9430.796,789.512,2083.677,9430.796,789.512,1483.677,9430.796,789.512
1783.677,9923.769,824.907,2083.677,9923.769,824.907,1483.677,9923.769,824.907
1809.805,10386.828,826.945,2109.805,10386.828,826.945,1509.805,10386.828,826.945
1820.527,10794.23,802.767,2117.689,10753.068,802.767,1523.364,10835.393,802.767
1887.534,11188.231,773.434,2179.855,11120.79,773.434,1595.213,11255.673,773.434
1989.385,11595.634,733.405,2266.147,11479.862,733.405,1712.624,11711.405,733.405
2131.44,11936.033,687.843,2405.524,11814.059,687.843,1857.355,12058.008,687.843
2295.539,12264.232,665.244,2547.865,12101.963,665.244,2043.212,12426.502,665.244
2574.126,12603.882,601.41,2774.425,12380.543,601.41,2373.827,12827.221,601.41
2917.591,12798.517,616.646,3064.274,12536.822,616.646,2770.907,13060.211,616.646
3303.035,12913.008,538.884,3381.245,12623.382,538.884,3224.826,13202.634,538.884
3738.091,12996.968,538.884,3796.208,12702.65,538.884,3679.975,13291.285,538.884
4218.942,13077.11,538.884,4279.146,12783.213,538.884,4158.738,13371.008,538.884
4676.897,13241.214,538.884,4813.458,12974.098,538.884,4540.336,13508.33,538.884
4986.014,13542.703,493.69,5236.262,13377.247,493.69,4735.765,13708.159,493.69
5134.85,13909.066,472.637,5420.038,13815.966,472.637,4849.661,14002.167,472.637
5192.096,14344.123,450.412,5478.718,14255.536,450.412,4905.474,14432.71,450.412
5222.627,14779.182,427.221,5509.249,14690.595,427.221,4936.005,14867.769,427.221
5291.32,15187.521,408.134,5577.942,15098.935,408.134,5004.698,15276.108,408.134
5443.974,15614.944,379.388,5730.596,15526.357,379.388,5157.352,15703.531,379.388
